#    iter       q 
     0 1.8594603015
   449 1.1046214098e+00 6.3888828959e-01
   451 1.1094459107e+00 6.3761169922e-01
   453 1.1046214098e+00 6.3633765948e-01
   455 1.0973456670e+00 6.3506616528e-01
   457 1.0972594523e+00 6.3379721152e-01
   459 1.0986881260e+00 6.3253079313e-01
   461 1.1344166180e+00 6.3126690505e-01
   463 1.1343373929e+00 6.3000554222e-01
   465 1.1098731081e+00 6.2874669959e-01
   467 1.1120008454e+00 6.2749037214e-01
   469 1.1105019890e+00 6.2623655482e-01
   471 1.1107720807e+00 6.2498524264e-01
   473 1.0967780358e+00 6.2373643058e-01
   475 1.0960586615e+00 6.2249011365e-01
   477 1.0966746203e+00 6.2124628686e-01
   479 1.1135018700e+00 6.2000494523e-01
   481 1.1082291032e+00 6.1876608381e-01
   483 1.0692067064e+00 6.1752969764e-01
   485 1.0562059102e+00 6.1629578177e-01
   487 1.0892723398e+00 6.1506433126e-01
   489 1.1341582005e+00 6.1383534119e-01
   491 1.1380150590e+00 6.1260880665e-01
   493 1.1439325396e+00 6.1138472273e-01
   495 1.1266105796e+00 6.1016308452e-01
   497 1.1792538647e+00 6.0894388715e-01
   499 1.1788018309e+00 6.0772712574e-01
   501 1.1262098773e+00 6.0651279542e-01
   503 1.1273059839e+00 6.0530089133e-01
   505 1.0892028765e+00 6.0409140863e-01
   507 1.0900475443e+00 6.0288434248e-01
   509 1.0654330781e+00 6.0167968805e-01
   511 1.0652835034e+00 6.0047744052e-01
   513 1.0660296698e+00 5.9927759508e-01
   515 1.0637131457e+00 5.9808014693e-01
   517 1.0802824416e+00 5.9688509129e-01
   519 1.0800686655e+00 5.9569242336e-01
   521 1.0800413124e+00 5.9450213840e-01
   523 1.1222124911e+00 5.9331423162e-01
   525 1.1221673963e+00 5.9212869828e-01
   527 1.1230018321e+00 5.9094553364e-01
   529 1.1230451485e+00 5.8976473296e-01
   531 1.1219737095e+00 5.8858629152e-01
   533 1.1210806823e+00 5.8741020462e-01
   535 1.1287056081e+00 5.8623646753e-01
   537 1.0824282048e+00 5.8506507558e-01
   539 1.0465625387e+00 5.8389602406e-01
   541 1.0447360184e+00 5.8272930831e-01
   543 1.0446894246e+00 5.8156492367e-01
   545 1.0381554086e+00 5.8040286546e-01
   547 1.0355031184e+00 5.7924312905e-01
   549 1.0355989966e+00 5.7808570979e-01
   551 1.0365384606e+00 5.7693060306e-01
   553 1.0367132673e+00 5.7577780423e-01
   555 1.0415478448e+00 5.7462730870e-01
   557 1.0218987425e+00 5.7347911186e-01
   559 1.0218861251e+00 5.7233320911e-01
   561 1.0223708805e+00 5.7118959589e-01
   563 1.0111063383e+00 5.7004826760e-01
   565 1.0112056544e+00 5.6890921969e-01
   567 1.0023730175e+00 5.6777244760e-01
   569 1.0023721868e+00 5.6663794678e-01
   571 1.0034177829e+00 5.6550571269e-01
   573 1.0032244048e+00 5.6437574081e-01
   575 1.0105692832e+00 5.6324802661e-01
   577 1.0061226853e+00 5.6212256559e-01
   579 1.0055351146e+00 5.6099935324e-01
   581 1.0163473443e+00 5.5987838507e-01
   583 1.0075134561e+00 5.5875965660e-01
   585 1.0078296527e+00 5.5764316335e-01
   587 1.0079740039e+00 5.5652890085e-01
   589 1.0078863234e+00 5.5541686465e-01
   591 1.0048209948e+00 5.5430705031e-01
   593 1.0082443375e+00 5.5319945337e-01
   595 1.0082676051e+00 5.5209406941e-01
   597 1.0218596142e+00 5.5099089401e-01
   599 1.0222420022e+00 5.4988992276e-01
   601 1.0221351925e+00 5.4879115124e-01
   603 1.0218920170e+00 5.4769457508e-01
   605 1.0218790437e+00 5.4660018988e-01
   607 1.0085947068e+00 5.4550799125e-01
   609 1.0032443659e+00 5.4441797485e-01
   611 1.0041240632e+00 5.4333013629e-01
   613 1.0052874909e+00 5.4224447125e-01
   615 1.0048630225e+00 5.4116097536e-01
   617 1.0044982489e+00 5.4007964429e-01
   619 1.0045258341e+00 5.3900047373e-01
   621 1.0047760193e+00 5.3792345935e-01
   623 1.0040152178e+00 5.3684859685e-01
   625 1.0039897842e+00 5.3577588193e-01
   627 1.0018744128e+00 5.3470531029e-01
   629 1.0018036853e+00 5.3363687765e-01
   631 1.0017684304e+00 5.3257057974e-01
   633 1.0026498300e+00 5.3150641230e-01
   635 1.0026871550e+00 5.3044437107e-01
   637 1.0086424842e+00 5.2938445180e-01
   639 1.0077467434e+00 5.2832665024e-01
   641 1.0111853311e+00 5.2727096218e-01
   643 1.0071270283e+00 5.2621738338e-01
   645 1.0029141773e+00 5.2516590963e-01
   647 1.0029091401e+00 5.2411653673e-01
   649 1.0015228662e+00 5.2306926048e-01
   651 1.0019644220e+00 5.2202407669e-01
   653 1.0018555762e+00 5.2098098117e-01
   655 1.0019018004e+00 5.1993996977e-01
   657 1.0052704739e+00 5.1890103830e-01
   659 1.0036553006e+00 5.1786418262e-01
   661 1.0003648523e+00 5.1682939858e-01
   663 1.0001670042e+00 5.1579668204e-01
   665 9.9995601992e-01 5.1476602887e-01
   667 1.0002345803e+00 5.1373743494e-01
   669 9.9992949103e-01 5.1271089615e-01
   671 1.0001325541e+00 5.1168640838e-01
   673 9.9947798604e-01 5.1066396754e-01
   675 9.9961066700e-01 5.0964356954e-01
   677 9.9934773611e-01 5.0862521030e-01
   679 9.9937988572e-01 5.0760888574e-01
   681 9.9945829094e-01 5.0659459179e-01
   683 9.9821854165e-01 5.0558232441e-01
   685 9.9828959447e-01 5.0457207954e-01
   687 9.9798662651e-01 5.0356385314e-01
   689 9.9798707624e-01 5.0255764118e-01
   691 9.9799909214e-01 5.0155343963e-01
   693 9.9837184834e-01 5.0055124447e-01
   695 1.0052298463e+00 4.9955105171e-01
   697 1.0053115947e+00 4.9855285733e-01
   699 1.0039346115e+00 4.9755665734e-01
   701 1.0043324916e+00 4.9656244776e-01
   703 1.0046076935e+00 4.9557022462e-01
   705 1.0047717726e+00 4.9457998393e-01
   707 1.0046305661e+00 4.9359172175e-01
   709 1.0046457657e+00 4.9260543412e-01
   711 1.0059822236e+00 4.9162111710e-01
   713 1.0069205674e+00 4.9063876674e-01
   715 1.0068901067e+00 4.8965837911e-01
   717 1.0067671728e+00 4.8867995030e-01
   719 1.0067730212e+00 4.8770347640e-01
   721 1.0068493007e+00 4.8672895349e-01
   723 9.9735980536e-01 4.8575637768e-01
   725 9.9703924794e-01 4.8478574508e-01
   727 9.9343317890e-01 4.8381705180e-01
   729 9.9391673646e-01 4.8285029397e-01
   731 9.9343052467e-01 4.8188546773e-01
   733 9.9857171699e-01 4.8092256921e-01
   735 1.0018203853e+00 4.7996159456e-01
   737 1.0016862678e+00 4.7900253994e-01
   739 1.0017435513e+00 4.7804540151e-01
   741 9.9812381147e-01 4.7709017545e-01
   743 9.9815838123e-01 4.7613685793e-01
   745 9.9929494940e-01 4.7518544514e-01
   747 9.9931658167e-01 4.7423593328e-01
   749 1.0031574480e+00 4.7328831854e-01
   751 1.0013933375e+00 4.7234259713e-01
   753 1.0024101218e+00 4.7139876528e-01
   755 1.0107317251e+00 4.7045681921e-01
   757 1.0094621789e+00 4.6951675514e-01
   759 1.0094160002e+00 4.6857856933e-01
   761 1.0094621789e+00 4.6764225801e-01
   763 1.0142806844e+00 4.6670781744e-01
   765 1.0234211582e+00 4.6577524388e-01
   767 1.0230262567e+00 4.6484453361e-01
   769 1.0198388691e+00 4.6391568290e-01
   771 1.0104940195e+00 4.6298868804e-01
   773 1.0106523384e+00 4.6206354531e-01
   775 1.0058924410e+00 4.6114025101e-01
   777 9.9984427514e-01 4.6021880146e-01
   779 1.0085843589e+00 4.5929919297e-01
   781 1.0014137117e+00 4.5838142186e-01
   783 1.0018853581e+00 4.5746548445e-01
   785 1.0013010003e+00 4.5655137709e-01
   787 1.0125048908e+00 4.5563909612e-01
   789 1.0125830303e+00 4.5472863789e-01
   791 1.0034970155e+00 4.5381999875e-01
   793 1.0046192743e+00 4.5291317507e-01
   795 1.0051674958e+00 4.5200816323e-01
   797 9.9951781802e-01 4.5110495961e-01
   799 9.9871584890e-01 4.5020356058e-01
   801 9.9810605799e-01 4.4930396256e-01
   803 9.9609193962e-01 4.4840616193e-01
   805 9.9622972587e-01 4.4751015510e-01
   807 9.9612668226e-01 4.4661593850e-01
   809 1.0017922501e+00 4.4572350855e-01
   811 1.0017735675e+00 4.4483286167e-01
   813 1.0144496580e+00 4.4394399431e-01
   815 1.0013911334e+00 4.4305690290e-01
   817 1.0186207858e+00 4.4217158391e-01
   819 1.0477992406e+00 4.4128803378e-01
   821 1.0486694313e+00 4.4040624899e-01
   823 1.0490882820e+00 4.3952622600e-01
   825 1.0686259346e+00 4.3864796130e-01
   827 1.0511263083e+00 4.3777145138e-01
   829 1.0264578667e+00 4.3689669272e-01
   831 1.0213743613e+00 4.3602368184e-01
   833 1.0430378682e+00 4.3515241523e-01
   835 1.0500137766e+00 4.3428288941e-01
   837 1.0430378682e+00 4.3341510090e-01
   839 1.0650383968e+00 4.3254904624e-01
   841 1.1028578659e+00 4.3168472196e-01
   843 1.1024613761e+00 4.3082212459e-01
   845 1.1024613761e+00 4.2996125070e-01
   847 1.0636646683e+00 4.2910209683e-01
   849 1.0368307973e+00 4.2824465956e-01
   851 1.0338668995e+00 4.2738893545e-01
   853 1.0403726164e+00 4.2653492107e-01
   855 1.0229731040e+00 4.2568261302e-01
   857 1.0326046061e+00 4.2483200788e-01
   859 1.0495061878e+00 4.2398310224e-01
   861 1.0493985661e+00 4.2313589273e-01
   863 1.0492845623e+00 4.2229037594e-01
   865 1.0247954960e+00 4.2144654849e-01
   867 1.0466443156e+00 4.2060440701e-01
   869 1.0463629275e+00 4.1976394813e-01
   871 1.0465447491e+00 4.1892516849e-01
   873 1.0463629275e+00 4.1808806473e-01
   875 1.0461266999e+00 4.1725263351e-01
   877 1.0348257192e+00 4.1641887148e-01
   879 1.0427861226e+00 4.1558677530e-01
   881 1.0435113258e+00 4.1475634166e-01
   883 1.0592477100e+00 4.1392756722e-01
   885 1.0609041165e+00 4.1310044868e-01
   887 1.0384490137e+00 4.1227498272e-01
   889 1.0377558180e+00 4.1145116604e-01
   891 1.0336791276e+00 4.1062899535e-01
   893 1.0527054114e+00 4.0980846736e-01
   895 1.0529614973e+00 4.0898957878e-01
   897 1.0534597473e+00 4.0817232634e-01
   899 1.0528321840e+00 4.0735670678e-01
   901 1.0834486987e+00 4.0654271682e-01
   903 1.0476615268e+00 4.0573035322e-01
   905 1.0478877488e+00 4.0491961272e-01
   907 1.0237429382e+00 4.0411049208e-01
   909 1.0120679042e+00 4.0330298806e-01
   911 1.0044681321e+00 4.0249709744e-01
   913 1.0121454814e+00 4.0169281699e-01
   915 1.0126378737e+00 4.0089014350e-01
   917 1.0129168904e+00 4.0008907374e-01
   919 1.0123721293e+00 3.9928960453e-01
   921 1.0115382157e+00 3.9849173265e-01
   923 1.0107047480e+00 3.9769545493e-01
   925 1.0002904228e+00 3.9690076816e-01
   927 1.0004810608e+00 3.9610766919e-01
   929 1.0019643182e+00 3.9531615482e-01
   931 1.0013927715e+00 3.9452622190e-01
   933 1.0013657755e+00 3.9373786727e-01
   935 1.0011061514e+00 3.9295108778e-01
   937 1.0021777250e+00 3.9216588027e-01
   939 1.0022451229e+00 3.9138224160e-01
   941 1.0023848678e+00 3.9060016865e-01
   943 1.0023974938e+00 3.8981965828e-01
   945 1.0026183143e+00 3.8904070737e-01
   947 9.9991432804e-01 3.8826331280e-01
   949 9.9993464095e-01 3.8748747147e-01
   951 9.9999873051e-01 3.8671318028e-01
   953 9.9954227709e-01 3.8594043611e-01
   955 1.0027816968e+00 3.8516923589e-01
   957 1.0031461584e+00 3.8439957653e-01
   959 1.0047188424e+00 3.8363145495e-01
   961 1.0025062892e+00 3.8286486808e-01
   963 1.0018329135e+00 3.8209981285e-01
   965 1.0013948107e+00 3.8133628621e-01
   967 1.0113147143e+00 3.8057428508e-01
   969 1.0111102760e+00 3.7981380644e-01
   971 1.0113912069e+00 3.7905484724e-01
   973 1.0165901387e+00 3.7829740443e-01
   975 1.0165008134e+00 3.7754147500e-01
   977 1.0373128732e+00 3.7678705592e-01
   979 1.0165008134e+00 3.7603414417e-01
   981 1.0164680664e+00 3.7528273673e-01
   983 1.0208497099e+00 3.7453283061e-01
   985 1.0227412756e+00 3.7378442280e-01
   987 1.0227368791e+00 3.7303751031e-01
   989 1.0077560377e+00 3.7229209016e-01
   991 1.0079444325e+00 3.7154815935e-01
   993 1.0075265548e+00 3.7080571492e-01
   995 1.0115107831e+00 3.7006475390e-01
   997 1.0115244039e+00 3.6932527331e-01
   999 1.0067819779e+00 3.6858727021e-01
  1001 1.0133772260e+00 3.6785074164e-01
  1003 1.0338080316e+00 3.6711568465e-01
  1005 1.0333503837e+00 3.6638209631e-01
  1007 1.0333245491e+00 3.6564997368e-01
  1009 1.0334064069e+00 3.6491931384e-01
  1011 1.0350969391e+00 3.6419011385e-01
  1013 1.0359520116e+00 3.6346237080e-01
  1015 1.0355251897e+00 3.6273608179e-01
  1017 1.0356381035e+00 3.6201124390e-01
  1019 1.0342576632e+00 3.6128785424e-01
  1021 1.0344210361e+00 3.6056590991e-01
  1023 1.0351527027e+00 3.5984540803e-01
  1025 1.0359733895e+00 3.5912634571e-01
  1027 1.0209789567e+00 3.5840872008e-01
  1029 1.0211313282e+00 3.5769252827e-01
  1031 1.0204967819e+00 3.5697776740e-01
  1033 1.0399590177e+00 3.5626443464e-01
  1035 1.0397662597e+00 3.5555252711e-01
  1037 1.0394257708e+00 3.5484204197e-01
  1039 1.0371274171e+00 3.5413297639e-01
  1041 1.0371653560e+00 3.5342532751e-01
  1043 1.0389434007e+00 3.5271909253e-01
  1045 1.0164288393e+00 3.5201426860e-01
  1047 1.0167359770e+00 3.5131085290e-01
  1049 1.0174468811e+00 3.5060884264e-01
  1051 1.0115964541e+00 3.4990823499e-01
  1053 1.0299797278e+00 3.4920902716e-01
  1055 1.0303264151e+00 3.4851121634e-01
  1057 1.0345038820e+00 3.4781479975e-01
  1059 1.0200875016e+00 3.4711977461e-01
  1061 1.0197722286e+00 3.4642613812e-01
  1063 1.0174858071e+00 3.4573388752e-01
  1065 1.0041639931e+00 3.4504302004e-01
  1067 1.0056755289e+00 3.4435353292e-01
  1069 1.0100876453e+00 3.4366542338e-01
  1071 1.0105890990e+00 3.4297868870e-01
  1073 1.0107637680e+00 3.4229332611e-01
  1075 1.0267044410e+00 3.4160933287e-01
  1077 1.0369825457e+00 3.4092670626e-01
  1079 1.0369458994e+00 3.4024544353e-01
  1081 1.0370431971e+00 3.3956554197e-01
  1083 1.0368672192e+00 3.3888699885e-01
  1085 1.0398024834e+00 3.3820981146e-01
  1087 1.0381425994e+00 3.3753397709e-01
  1089 1.0360219466e+00 3.3685949304e-01
  1091 1.0365749214e+00 3.3618635661e-01
  1093 1.0354373902e+00 3.3551456511e-01
  1095 1.0341567528e+00 3.3484411585e-01
  1097 1.0243824113e+00 3.3417500615e-01
  1099 1.0240894616e+00 3.3350723333e-01
  1101 1.0242667138e+00 3.3284079472e-01
  1103 1.0326644423e+00 3.3217568765e-01
  1105 1.0301828427e+00 3.3151190947e-01
  1107 1.0556833800e+00 3.3084945752e-01
  1109 1.0557101876e+00 3.3018832915e-01
  1111 1.0813615603e+00 3.2952852172e-01
  1113 1.0805505120e+00 3.2887003258e-01
  1115 1.0796135035e+00 3.2821285910e-01
  1117 1.0804332578e+00 3.2755699866e-01
  1119 1.0780935736e+00 3.2690244863e-01
  1121 1.0785480916e+00 3.2624920638e-01
  1123 1.0499472219e+00 3.2559726932e-01
  1125 1.0500213281e+00 3.2494663483e-01
  1127 1.0496162037e+00 3.2429730031e-01
  1129 1.0498107049e+00 3.2364926316e-01
  1131 1.0419812714e+00 3.2300252078e-01
  1133 1.0380947164e+00 3.2235707060e-01
  1135 1.0375940687e+00 3.2171291003e-01
  1137 1.0499648737e+00 3.2107003650e-01
  1139 1.0448618956e+00 3.2042844742e-01
  1141 1.0209252316e+00 3.1978814025e-01
  1143 1.0423338732e+00 3.1914911240e-01
  1145 1.0210154841e+00 3.1851136134e-01
  1147 1.0222962488e+00 3.1787488450e-01
  1149 1.0231804173e+00 3.1723967934e-01
  1151 1.0109758195e+00 3.1660574333e-01
  1153 1.0073008599e+00 3.1597307392e-01
  1155 1.0070644354e+00 3.1534166858e-01
  1157 1.0131101099e+00 3.1471152479e-01
  1159 1.0130662986e+00 3.1408264003e-01
  1161 1.0325461758e+00 3.1345501179e-01
  1163 1.0350894668e+00 3.1282863754e-01
  1165 1.0459629123e+00 3.1220351480e-01
  1167 1.0459625339e+00 3.1157964104e-01
  1169 1.0459236060e+00 3.1095701379e-01
  1171 1.0461883748e+00 3.1033563055e-01
  1173 1.0477563253e+00 3.0971548883e-01
  1175 1.0275279890e+00 3.0909658616e-01
  1177 1.0275536492e+00 3.0847892006e-01
  1179 1.0166154296e+00 3.0786248805e-01
  1181 1.0033744105e+00 3.0724728768e-01
  1183 1.0151458823e+00 3.0663331647e-01
  1185 1.0037281133e+00 3.0602057198e-01
  1187 1.0036990370e+00 3.0540905176e-01
  1189 9.9762641180e-01 3.0479875336e-01
  1191 9.9750720856e-01 3.0418967433e-01
  1193 9.9742279575e-01 3.0358181224e-01
  1195 9.9904427422e-01 3.0297516466e-01
  1197 9.9898580991e-01 3.0236972916e-01
  1199 9.9603491219e-01 3.0176550333e-01
  1201 9.9591619057e-01 3.0116248474e-01
